YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE_NAME,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,is_cancelled,is_delayed
2015,2,17,2,WN,1146,BWI,BUF,1510,6.0,281,1620,-2.0,0,0,,,,,,,Southwest Airlines Co.,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,False,False
2015,3,17,2,EV,5803,LIT,IAH,1852,-4.0,374,2021,-12.0,0,0,,,,,,,Atlantic Southeast Airlines,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,34.7294,-92.22425,False,False
2015,2,13,5,DL,1544,MSP,MDW,2018,-5.0,349,2149,-2.0,0,0,,,,,,,Delta Air Lines Inc.,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692,False,False
2015,1,20,2,AA,1456,DFW,MCO,930,-3.0,985,1252,-5.0,0,0,,,,,,,American Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,False,False
2015,3,19,4,DL,1730,ATL,CHS,935,10.0,259,1048,1.0,0,0,,,,,,,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,False,False
2015,3,29,7,DL,2062,MSP,BOS,1715,4.0,1124,2055,-7.0,0,0,,,,,,,Delta Air Lines Inc.,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692,False,False
2015,3,25,3,WN,882,SJC,SNA,1215,-1.0,342,1330,-6.0,0,0,,,,,,,Southwest Airlines Co.,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901,False,False
2015,2,16,1,AA,1095,DFW,ONT,1300,40.0,1188,1414,34.0,0,0,,0.0,0.0,3.0,31.0,0.0,American Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,False,True
2015,3,28,6,WN,1156,FNT,MCO,735,-6.0,1011,1020,-15.0,0,0,,,,,,,Southwest Airlines Co.,Bishop International Airport,Flint,MI,42.9655,-83.74346,False,False
2015,1,24,6,DL,760,SMF,ATL,1300,-2.0,2092,2016,2.0,0,0,,,,,,,Delta Air Lines Inc.,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077,False,False
2015,2,6,5,WN,326,MDW,PHL,1330,-3.0,668,1625,3.0,0,0,,,,,,,Southwest Airlines Co.,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242,False,False
